Date,Price,High,Low,Volume,Last Close,Change,Var%
2013-03-18,305.95,,,70520718.0,305.95,,
2013-03-19,297.5,,,52043871.0,297.5,,
2013-03-20,295.2,,,59775223.0,295.2,,
2013-03-21,294.6,,,38994788.0,294.6,,
2013-03-22,292.0,,,58888291.0,292.0,,
2013-03-25,282.1,,,73557401.0,282.1,,
2013-03-26,287.2,,,52634903.0,287.2,,
2013-03-27,287.9,,,61811145.0,287.9,,
2013-03-28,291.15,,,26227627.0,291.15,,
2013-04-02,297.5,,,41502440.0,297.5,,
2013-04-03,289.3,,,28585162.0,289.3,,
2013-04-04,284.9,,,36699397.0,284.9,,
2013-04-05,280.0,,,46066930.0,280.0,,
2013-04-08,277.2,,,40312997.0,277.2,,
2013-04-09,286.0,,,46954685.0,286.0,,
2013-04-10,297.165,,,46271138.0,297.165,,
2013-04-11,303.9,,,35598563.0,303.9,,
2013-04-12,299.3,,,25439275.0,299.3,,
2013-04-15,295.137,,,25591177.0,295.137,,
2013-04-16,297.1401,,,26021143.0,297.1401,,
2013-04-17,290.3,,,35783634.0,290.3,,
2013-04-18,283.75,,,33647918.0,283.75,,
2013-04-19,286.35,,,26209065.0,286.35,,
2013-04-22,293.0617,,,33108707.0,293.0617,,
2013-04-23,298.3,,,46500147.0,298.3,,
2013-04-24,294.42,,,77564373.0,294.42,,
2013-04-25,291.537,,,43255772.0,291.537,,
2013-04-26,290.7,,,28710976.0,290.7,,
2013-04-29,289.6367,,,40146097.0,289.6367,,
2013-04-30,289.0087,,,59867145.0,289.0087,,
2013-05-01,288.7,,,14320461.0,288.7,,
2013-05-02,288.9,,,28769919.0,288.9,,
2013-05-03,295.0877,,,61996372.0,295.0877,,
2013-05-07,308.5166,,,75842571.0,308.5166,,
2013-05-08,308.8,,,32331847.0,308.8,,
2013-05-09,312.0949,,,35555255.0,312.0949,,
2013-05-10,314.4,,,37798484.0,314.4,,
2013-05-13,312.55,,,27882279.0,312.55,,
2013-05-14,313.6731,,,29608132.0,313.6731,,
2013-05-15,312.2125,,,35058275.0,312.2125,,
2013-05-16,323.18,,,35504499.0,323.18,,
2013-05-17,327.217,,,47092823.0,327.217,,
2013-05-20,326.25,,,26838293.0,326.25,,
2013-05-21,323.3,,,37523406.0,323.3,,
2013-05-22,325.0,,,71779785.0,325.0,,
2013-05-23,322.429,,,52522258.0,322.429,,
2013-05-24,321.6,,,47601873.0,321.6,,
2013-05-28,323.1404,,,34070944.0,323.1404,,
2013-05-29,320.0,,,28680021.0,320.0,,
2013-05-30,322.7395,,,28225045.0,322.7395,,
2013-05-31,320.45,,,51843458.0,320.45,,
2013-06-03,317.1,,,32584931.0,317.1,,
2013-06-04,320.75,,,31931974.0,320.75,,
2013-06-05,316.3,,,33400710.0,316.3,,
2013-06-06,306.1362,,,64756866.0,306.1362,,
2013-06-07,307.8,,,35819527.0,307.8,,
2013-06-10,309.8875,,,32438783.0,309.8875,,
2013-06-11,301.2482,,,37908849.0,301.2482,,
2013-06-12,299.5657,,,45295048.0,299.5657,,
2013-06-13,296.55,,,42601292.0,296.55,,
2013-06-14,298.9118,,,30861703.0,298.9118,,
2013-06-17,296.65,,,28042891.0,296.65,,
2013-06-18,304.4138,,,30106095.0,304.4138,,
2013-06-19,301.5,,,36030507.0,301.5,,
2013-06-20,288.1,,,71895410.0,288.1,,
2013-06-21,281.6,,,73644077.0,281.6,,
2013-06-24,279.05,,,46687343.0,279.05,,
2013-06-25,282.6661,,,31198249.0,282.6661,,
2013-06-26,288.85,,,44863751.0,288.85,,
2013-06-27,286.25,,,33406724.0,286.25,,
2013-06-28,278.45,,,55402965.0,278.45,,
2013-07-01,262.81,,,70298682.0,262.81,,
2013-07-02,261.42,,,38194555.0,261.42,,
2013-07-03,259.34,,,58078720.0,259.34,,
2013-07-04,270.38,,,48130560.0,270.38,,
2013-07-05,269.27,,,42335880.0,269.27,,
2013-07-08,275.83,,,33289923.0,275.83,,
2013-07-09,279.29,,,40686617.0,279.29,,
2013-07-10,279.02,,,25867256.0,279.02,,
2013-07-11,279.8,,,34831978.0,279.8,,
2013-07-12,282.8,,,44162181.0,282.8,,
2013-07-15,286.13,,,34324979.0,286.13,,
2013-07-16,284.65,,,35467917.0,284.65,,
2013-07-17,286.04,,,56356249.0,286.04,,
2013-07-18,292.87,,,44511397.0,292.87,,
2013-07-19,295.6,,,40946955.0,295.6,,
2013-07-22,299.29,,,34107980.0,299.29,,
2013-07-23,297.22,,,29812877.0,297.22,,
2013-07-24,296.11,,,33118019.0,296.11,,
2013-07-25,297.91,,,27358652.0,297.91,,
2013-07-26,295.74,,,22566391.0,295.74,,
2013-07-29,285.48,,,69957526.0,285.48,,
2013-07-30,269.09,,,119111664.0,269.09,,
2013-07-31,265.95,,,84836521.0,265.95,,
2013-08-01,268.9,,,57920898.0,268.9,,
2013-08-02,263.68,,,43252395.0,263.68,,
2013-08-05,263.73,,,26371343.0,263.73,,
2013-08-06,262.81,,,35017614.0,262.81,,
2013-08-07,260.63,,,35517631.0,260.63,,
2013-08-08,265.07,,,26178741.0,265.07,,
2013-08-09,265.21,,,21522563.0,265.21,,
2013-08-12,263.27,,,30488339.0,263.27,,
2013-08-13,262.02,,,27383727.0,262.02,,
2013-08-14,263.68,,,34804750.0,263.68,,
2013-08-15,262.62,,,24101817.0,262.62,,
2013-08-16,266.09,,,36262935.0,266.09,,
2013-08-19,266.69,,,28919265.0,266.69,,
2013-08-20,264.88,,,24643771.0,264.88,,
2013-08-21,261.42,,,26516608.0,261.42,,
2013-08-22,262.99,,,20929222.0,262.99,,
2013-08-23,264.98,,,27269572.0,264.98,,
2013-08-26,286.8667,,,250000.0,286.8667,,
2013-08-27,259.3,,,44298713.0,259.3,,
2013-08-28,262.85,,,40922182.0,262.85,,
2013-08-29,262.94,,,19498671.0,262.94,,
2013-08-30,261.74,,,25373659.0,261.74,,
2013-09-02,263.91,,,20215362.0,263.91,,
2013-09-03,263.36,,,17410484.0,263.36,,
2013-09-04,267.47,,,37324879.0,267.47,,
2013-09-05,273.43,,,47785477.0,273.43,,
2013-09-06,274.35,,,34741391.0,274.35,,
2013-09-09,276.71,,,25805343.0,276.71,,
2013-09-10,282.44,,,53622009.0,282.44,,
2013-09-11,283.08,,,31995652.0,283.08,,
2013-09-12,282.57,,,28526628.0,282.57,,
2013-09-13,278.6,,,35986875.0,278.6,,
2013-09-16,282.11,,,53586275.0,282.11,,
2013-09-17,276.2,,,70565703.0,276.2,,
2013-09-18,277.2,,,82939239.0,277.2,,
2013-09-19,278.3,,,86463478.0,278.3,,
2013-09-20,273.45,,,102813489.0,273.45,,
2013-09-23,266.35,,,106315058.0,266.35,,
2013-09-24,271.45,,,92119891.0,271.45,,
2013-09-25,273.0,,,87518406.0,273.0,,
2013-09-26,269.2,,,76569599.0,269.2,,
2013-09-27,265.8,,,86964053.0,265.8,,
2013-09-30,265.5,,,57076731.0,265.5,,
2013-10-01,269.8,,,54978568.0,269.8,,
2013-10-02,272.55,,,45082347.0,272.55,,
2013-10-03,273.0,,,36069423.0,273.0,,
2013-10-04,271.35,,,76138384.0,271.35,,
2013-10-07,272.55,,,39190060.0,272.55,,
2013-10-08,268.2,,,44310907.0,268.2,,
2013-10-09,267.8,,,36798436.0,267.8,,
2013-10-10,274.5,,,44660859.0,274.5,,
2013-10-11,278.0,,,45267013.0,278.0,,
2013-10-14,276.85,,,35913126.0,276.85,,
2013-10-15,279.85,,,37685924.0,279.85,,
2013-10-16,283.65,,,44694699.0,283.65,,
2013-10-17,278.3,,,72456700.0,278.3,,
2013-10-18,277.85,,,83229839.0,277.85,,
2013-10-21,274.75,,,35678437.0,274.75,,
2013-10-22,272.6,,,39485244.0,272.6,,
2013-10-23,268.2,,,73976191.0,268.2,,
2013-10-24,266.45,,,47637801.0,266.45,,
2013-10-25,267.9,,,45973863.0,267.9,,
2013-10-28,263.25,,,58028691.0,263.25,,
2013-10-29,266.05,,,43565118.0,266.05,,
2013-10-30,268.45,,,87949700.0,268.45,,
2013-10-31,263.6,,,74175414.0,263.6,,
2013-11-01,256.3,,,97022172.0,256.3,,
2013-11-04,255.15,,,77576939.0,255.15,,
2013-11-05,249.0,,,82656896.0,249.0,,
2013-11-06,254.65,,,61582062.0,254.65,,
2013-11-07,252.7,,,40312164.0,252.7,,
2013-11-08,255.3,,,42483751.0,255.3,,
2013-11-11,257.65,,,27709202.0,257.65,,
2013-11-12,256.8,,,25725188.0,256.8,,
2013-11-13,249.5,,,58605507.0,249.5,,
2013-11-14,250.0,,,35915349.0,250.0,,
2013-11-15,249.45,,,36123227.0,249.45,,
2013-11-18,251.4,,,25696482.0,251.4,,
2013-11-19,250.8,,,26461982.0,250.8,,
2013-11-20,252.6,,,31232134.0,252.6,,
2013-11-21,257.1,,,40369168.0,257.1,,
2013-11-22,256.95,,,29144679.0,256.95,,
2013-11-25,259.1,,,36423472.0,259.1,,
2013-11-26,260.8,,,37928093.0,260.8,,
2013-11-27,262.5,,,32749047.0,262.5,,
2013-11-28,265.6,,,45887714.0,265.6,,
2013-12-02,270.25,,,40286523.0,270.25,,
2013-12-03,266.2,,,45059417.0,266.2,,
2013-12-04,262.8,,,40612949.0,262.8,,
2013-12-05,262.35,,,31699326.0,262.35,,
2013-12-06,265.65,,,26790397.0,265.65,,
2013-12-09,265.85,,,23569246.0,265.85,,
2013-12-10,263.75,,,27721365.0,263.75,,
2013-12-11,259.75,,,37572010.0,259.75,,
2013-12-12,253.95,,,55831667.0,253.95,,
2013-12-13,251.45,,,35366143.0,251.45,,
2013-12-16,255.05,,,38828369.0,255.05,,
2013-12-17,251.3,,,42961961.0,251.3,,
2013-12-18,252.05,,,32693035.0,252.05,,
2013-12-19,257.45,,,38956212.0,257.45,,
2013-12-20,259.7,,,77359464.0,259.7,,
2013-12-23,264.35,,,25950818.0,264.35,,
2013-12-24,265.45,,,8077836.0,265.45,,
2013-12-27,269.7,,,25802106.0,269.7,,
2013-12-30,271.1,,,22572772.0,271.1,,
2013-12-31,271.95,,,12175998.0,271.95,,
2014-01-02,271.05,,,30686669.0,271.05,,
2014-01-03,272.85,,,23718428.0,272.85,,
2014-01-06,277.5,,,47103460.0,277.5,,
2014-01-07,280.95,,,44427309.0,280.95,,
2014-01-08,283.7,,,45179858.0,283.7,,
2014-01-09,284.4,,,57515680.0,284.4,,
2014-01-10,283.6,,,41119148.0,283.6,,
2014-01-13,291.7,,,58071322.0,291.7,,
2014-01-14,291.75,,,39955028.0,291.75,,
