Date,Open,High,Low,Close,Volume
2012-09-10,206.05,210.75,205.22,207.75,46236997
2012-09-11,206.15,214.56,205.0,213.5,41782558
2012-09-12,214.9,219.8,214.15,217.0,54621338
2012-09-13,217.0,219.38,215.0,217.95,26414730
2012-09-14,225.55,237.0,214.9,229.05,82216180
2012-09-17,227.4,230.34,221.63,228.0,21469636
2012-09-18,226.35,226.95,218.15,225.4,47831511
2012-09-19,225.15,227.15,219.0,225.15,28740068
2012-09-20,224.0,224.9,218.1,222.05,30963347
2012-09-21,223.5,235.55,219.6,223.75,52304975
2012-09-24,222.65,223.74,218.45,220.25,18457478
2012-09-25,220.6,224.96,218.48,223.2,21297829
2012-09-26,219.3,220.34,211.8,213.65,38112190
2012-09-27,215.1,218.65,214.15,217.25,24470705
2012-09-28,218.35,222.5,214.85,214.85,29537682
2012-10-01,214.85,222.8,214.5,222.35,32581177
2012-10-02,220.8,223.5,217.5,220.75,32133306
2012-10-03,218.45,222.61,217.3,220.25,26435782
2012-10-04,221.65,223.95,219.1,222.55,23215186
2012-10-05,223.0,230.05,222.75,227.85,30031535
2012-10-08,225.45,225.49,220.0,222.35,17762012
2012-10-09,223.3,226.84,220.11,221.55,22711231
2012-10-10,221.0,225.43,220.55,222.0,29192906
2012-10-11,221.1,288.0,221.1,232.65,42652749
2012-10-12,232.8,240.34,231.45,232.2,51221368
2012-10-15,231.25,238.07,230.65,236.85,28867631
2012-10-16,239.5,246.1,237.8,246.1,46512656
2012-10-17,245.1,247.0,239.2,244.4,33512154
2012-10-18,245.0,248.1,237.5,240.7,50948005
2012-10-19,238.75,241.03,233.23,233.85,40671307
2012-10-22,233.65,240.17,232.39,235.4,21239744
2012-10-23,236.4,237.21,230.5,232.65,30044436
2012-10-24,232.5,232.95,227.65,229.9,33050330
2012-10-25,230.3,236.9,230.05,232.85,34903767
2012-10-26,229.7,233.35,228.85,232.5,24539515
2012-10-29,230.5,233.3,227.85,231.05,12880180
2012-10-30,230.5,240.4,230.1,238.8,26131528
2012-10-31,230.0,234.05,227.0,227.5,67402242
2012-11-01,227.85,239.65,226.15,239.25,48259773
2012-11-02,239.75,245.04,237.25,241.15,34419290
2012-11-05,238.5,240.15,236.8,237.5,18641674
2012-11-06,239.0,242.67,237.5,242.55,20216522
2012-11-07,243.8,245.76,235.7,235.85,44274818
2012-11-08,236.8,240.45,235.75,236.6,20774453
2012-11-09,236.15,237.35,226.62,230.15,39177687
2012-11-12,229.15,235.92,227.55,234.95,28154896
2012-11-13,234.05,237.85,229.59,237.3,29870786
2012-11-14,235.2,239.12,233.2,237.65,35289857
2012-11-15,234.5,242.47,233.55,239.25,40495765
2012-11-16,239.15,241.75,233.2,239.55,37921490
2012-11-19,237.15,250.77,236.7,249.75,54740135
2012-11-20,248.3,250.6,240.6,246.5,43542030
2012-11-21,246.15,250.05,245.0,248.85,35595097
2012-11-22,249.8,252.4,246.4,252.0,18803081
2012-11-23,252.9,255.7,250.17,254.2,19516642
2012-11-26,246.6,247.0,238.1,240.5,93894016
2012-11-27,241.65,246.56,240.65,243.65,33847976
2012-11-28,241.5,243.47,238.0,242.15,28696437
2012-11-29,243.8,246.58,242.95,244.6,29190171
2012-11-30,243.2,248.05,242.0,246.0,33062458
2012-12-03,245.85,248.25,243.4,244.4,21061379
2012-12-04,243.2,246.75,243.15,243.8,19731544
2012-12-05,245.35,246.85,243.85,246.4,22848647
2012-12-06,247.95,252.15,246.67,250.5,36306790
2012-12-07,250.0,252.35,249.4,251.55,21164827
2012-12-10,250.45,251.55,247.25,249.55,17199784
2012-12-11,249.75,250.25,247.0,248.95,15805677
2012-12-12,248.9,252.62,248.41,252.6,28221002
2012-12-13,254.0,255.86,251.95,254.1,37507412
2012-12-14,253.4,257.89,252.8,255.3,21711311
2012-12-17,256.15,257.16,253.15,256.9,19039059
2012-12-18,258.0,262.58,257.85,261.15,35427082
2012-12-19,262.0,270.95,262.0,266.55,38766285
2012-12-20,265.65,268.34,263.55,266.8,25788154
2012-12-21,265.45,265.75,259.1,263.0,45305990
2012-12-24,263.5,263.98,261.2,263.1,3602367
2012-12-27,262.3,267.65,260.51,265.2,15499806
2012-12-28,267.05,268.7,261.0,262.12,15622123
2012-12-31,260.0,263.6,259.75,262.4,6275300
2013-01-02,272.85,277.08,269.6,275.6,45345917
2013-01-03,274.65,278.89,272.83,276.0,23198120
2013-01-04,275.15,278.56,273.5,276.7,26802603
2013-01-07,281.0,288.46,276.04,287.2,46967252
2013-01-08,285.6,295.48,282.5,287.2,38840424
2013-01-09,289.0,298.15,288.8,294.75,40664960
2013-01-10,293.8,298.79,291.65,294.6,39136759
2013-01-11,295.9,301.75,295.54,299.65,45679282
2013-01-14,299.55,301.3,297.9,298.91,37867051
2013-01-15,298.0,298.69,292.0,295.4,43605794
2013-01-16,293.95,296.0,287.25,293.4,36532973
2013-01-17,291.95,298.97,289.05,296.05,29914029
2013-01-18,296.15,299.9,294.94,297.0,32957591
2013-01-21,298.7,299.37,294.32,297.4,19417413
2013-01-22,298.0,300.05,293.94,296.05,38781134
2013-01-23,296.2,299.9,295.75,296.0,32694665
2013-01-24,295.0,300.05,294.25,297.03,31016571
2013-01-25,299.15,303.9,298.05,300.7,28662407
2013-01-28,300.5,307.66,297.47,305.85,30038393
2013-01-29,305.0,306.65,297.1,300.9,41284368
2013-01-30,300.3,304.55,297.59,302.0,31853612
2013-01-31,302.0,303.95,294.6,301.0,49104453
2013-02-01,301.0,305.8,297.73,300.0,39024024
2013-02-04,299.0,300.04,290.4,291.5,46230562
2013-02-05,290.0,296.91,288.32,295.25,26532727
2013-02-06,295.25,299.25,291.0,295.45,22605067
2013-02-07,294.55,298.41,291.2,292.5,36436577
2013-02-08,294.0,300.47,293.1,298.6,30214727
2013-02-11,298.1,303.95,298.0,301.5,34541578
2013-02-12,301.9,329.2,301.0,327.35,106548477
2013-02-13,330.0,330.56,325.0,326.0,56418541
2013-02-14,326.0,327.53,317.2,319.0,42443458
2013-02-15,319.2,323.76,316.0,321.25,31519146
2013-02-18,321.3,322.02,318.56,320.2,14489183
2013-02-19,319.0,325.6,317.65,325.0,29839940
2013-02-20,320.45,325.0,318.0,323.0,28846991
2013-02-21,317.75,320.85,306.31,306.45,45332296
2013-02-22,307.15,312.8,306.0,307.0,29744540
2013-02-25,310.0,318.74,309.05,311.65,38190026
2013-02-26,293.65,315.65,290.0,297.0,65957665
2013-02-27,302.1,303.75,295.55,301.8,43644332
2013-02-28,304.25,309.4,302.5,307.0,39750463
2013-03-01,306.5,308.15,291.7,303.45,43201955
2013-03-04,301.8,302.75,297.65,300.4,25541389
2013-03-05,303.05,308.9,302.15,307.45,30416777
2013-03-06,306.5,309.85,301.7,302.15,26672735
2013-03-07,304.7,311.35,304.03,309.5,36334795
2013-03-08,313.25,319.95,311.55,318.6,43275410
2013-03-11,316.9,317.65,309.8,311.5,31062352
2013-03-12,312.4,317.89,311.33,313.15,25563559
2013-03-13,311.25,314.83,308.05,314.7,22198808
2013-03-14,317.25,318.75,312.65,317.9,35099989
2013-03-15,317.55,326.43,317.55,320.05,118736758
2013-03-18,310.4,311.87,303.5,305.95,53267713
2013-03-19,305.25,307.45,295.3,297.5,43056115
2013-03-20,299.35,301.27,292.93,295.2,45199004
2013-03-21,295.0,297.78,293.01,294.6,30151953
2013-03-22,295.0,297.69,291.54,292.0,30327863
2013-03-25,296.8,300.85,277.62,282.1,56744841
2013-03-26,283.85,288.35,277.0,287.2,37657293
2013-03-27,289.1,296.54,283.55,287.9,41626181
2013-03-28,288.05,294.7,285.4,291.15,30929130
2013-04-02,291.4,298.88,289.75,297.5,31400115
2013-04-03,296.8,297.77,288.3,289.3,23541569
2013-04-04,289.85,293.4,284.9,284.9,30659905
2013-04-05,284.95,291.38,273.34,280.0,38664483
2013-04-08,282.35,282.8,276.0,277.2,17693895
2013-04-09,280.2,288.0,280.2,286.0,29053905
2013-04-10,288.1,301.65,286.85,298.25,40128603
2013-04-11,298.2,307.42,295.8,303.9,35612230
2013-04-12,302.1,303.45,296.54,299.3,22820050
2013-04-15,298.1,300.0,289.9,296.75,22756716
2013-04-16,293.15,299.07,290.4,294.8,23340951
2013-04-17,298.9,299.95,286.7,290.3,32214989
2013-04-18,292.0,292.6,280.85,283.75,30528328
2013-04-19,285.15,287.77,282.75,286.35,26164063
2013-04-22,289.9,296.8,288.8,289.5,30249573
2013-04-23,286.65,300.46,286.65,298.3,40818046
2013-04-24,293.7,316.0,291.45,294.42,68280757
2013-04-25,294.55,301.04,290.45,293.7,39662834
2013-04-26,292.75,296.0,287.6,290.7,25164964
2013-04-29,291.45,295.25,288.05,289.9,23444582
2013-04-30,287.5,294.0,284.6,286.05,55050020
2013-05-01,289.95,293.5,286.25,288.7,12352220
2013-05-02,288.0,291.6,283.4,288.9,28739046
2013-05-03,289.15,298.95,287.96,296.1,54031261
2013-05-07,303.4,314.0,299.1,307.4,66362969
2013-05-08,306.3,311.5,305.7,308.8,27828168
2013-05-09,310.0,314.51,307.75,310.0,31025979
2013-05-10,311.0,315.59,309.7,314.4,32732615
2013-05-13,314.0,314.45,308.15,312.55,25427806
2013-05-14,314.0,314.05,308.5,314.05,25074330
2013-05-15,314.5,320.95,305.0,318.65,31400990
2013-05-16,318.45,324.5,317.85,320.4,31355709
2013-05-17,319.95,330.0,319.0,326.8,36506947
2013-05-20,326.75,330.7,322.9,326.2,21412514
2013-05-21,324.55,326.1,320.03,323.3,32685803
2013-05-22,325.0,338.2,323.05,333.85,49698888
2013-05-23,320.25,324.03,317.5,321.45,44138680
2013-05-24,324.45,325.45,316.2,317.0,24195762
2013-05-28,320.75,330.18,320.35,325.1,29037282
2013-05-29,323.4,324.62,319.05,320.0,25171955
2013-05-30,318.65,326.5,317.5,326.5,21377059
2013-05-31,323.45,324.65,317.45,322.45,51808678
2013-06-03,318.8,321.67,315.7,317.1,29909829
2013-06-04,321.9,324.85,318.52,320.35,20175096
2013-06-05,317.35,325.0,314.95,316.3,30701303
2013-06-06,312.0,312.28,303.05,303.3,57403407
2013-06-07,303.6,309.25,301.7,307.8,35919526
2013-06-10,308.0,313.1,306.5,308.65,30404500
2013-06-11,307.45,308.8,298.85,304.55,34346721
2013-06-12,302.25,305.78,293.6,295.8,39843233
2013-06-13,290.0,298.13,287.25,296.55,38114999
2013-06-14,299.45,301.3,296.25,297.7,28790346
2013-06-17,299.15,299.86,291.55,296.65,24520500
2013-06-18,295.95,305.07,294.75,300.3,27208424
2013-06-19,301.5,304.7,298.56,301.5,34237969
2013-06-20,295.0,298.95,285.5,288.1,65662965
2013-06-21,286.38,292.5,281.54,281.6,57999880
2013-06-24,280.1,285.48,276.0,279.05,29611705
2013-06-25,282.9,285.13,280.63,283.1,24456169
2013-06-26,283.35,291.42,281.6,288.85,34821201
2013-06-27,288.85,292.0,283.55,286.25,30465214
2013-06-28,287.65,290.75,277.1,278.45,51037675
2013-07-01,282.95,287.0,272.1,284.5,58286208
2013-07-02,286.0,286.3,279.16,283.0,27320524
2013-07-03,278.42,281.35,269.75,280.75,41809381
2013-07-04,283.8,295.21,282.8,292.7,38423364
2013-07-05,294.55,300.75,290.0,291.5,36813148
2013-07-08,293.4,301.5,292.95,298.6,28030753
2013-07-09,300.0,305.35,299.85,302.35,34373700
2013-07-10,300.2,307.5,299.95,302.05,22857309
2013-07-11,306.0,308.26,270.3,302.9,30061586
2013-07-12,303.05,306.75,299.95,306.15,39517820
2013-07-15,308.1,311.36,307.19,309.75,29143306
2013-07-16,310.05,313.3,307.92,308.15,27103167
2013-07-17,308.2,313.07,304.63,309.65,34821845
2013-07-18,309.5,320.05,308.36,317.05,37178239
2013-07-19,315.8,323.03,314.33,320.0,34733000
2013-07-22,320.55,325.95,320.0,324.0,29038992
2013-07-23,324.5,327.5,321.75,321.75,25468711
2013-07-24,322.1,324.2,317.8,320.55,27764256
2013-07-25,321.2,324.3,316.9,322.5,23748977
2013-07-26,324.35,325.05,318.3,320.15,18325720
2013-07-29,318.95,319.75,303.65,309.05,55827016
2013-07-30,291.0,298.7,283.6,291.3,93853561
2013-07-31,290.95,291.25,284.65,287.9,43021842
2013-08-01,289.15,292.0,287.8,291.1,38977751
2013-08-02,291.35,291.9,283.0,285.45,34893421
2013-08-05,286.15,288.25,282.0,285.5,21168077
2013-08-06,285.9,286.5,280.55,284.5,25929072
2013-08-07,283.25,284.75,281.15,282.15,31648903
2013-08-08,283.45,287.35,281.1,286.95,21570837
2013-08-09,287.2,288.85,283.0,287.1,18408273
2013-08-12,288.0,289.35,283.7,285.0,16096642
2013-08-13,285.55,286.05,281.85,283.65,23872340
2013-08-14,284.95,286.4,283.5,285.45,22951955
2013-08-15,285.1,287.45,282.65,284.3,21151019
2013-08-16,283.25,289.3,282.55,288.05,32336374
2013-08-19,288.6,290.5,287.8,288.7,21991995
2013-08-20,285.65,287.15,282.75,286.75,22421085
2013-08-21,286.5,292.3,282.0,283.0,24468860
2013-08-22,282.8,286.95,282.3,284.7,18208147
2013-08-23,284.2,290.6,282.0,286.85,23458725
2013-08-27,286.05,287.8,278.7,280.7,35943763
2013-08-28,279.4,286.2,277.25,284.55,34180939
2013-08-29,285.85,286.7,281.6,284.65,16975214
2013-08-30,285.25,286.8,281.1,283.35,22679262
2013-09-02,286.0,289.45,285.25,285.7,16830066
2013-09-03,286.9,288.6,282.85,285.1,14923158
2013-09-04,286.55,290.9,283.05,289.55,28044252
2013-09-05,289.0,297.95,289.0,287.77,37392637
2013-09-06,296.3,301.0,292.9,297.0,26931423
2013-09-09,297.2,300.9,296.75,299.55,19563489
2013-09-10,303.0,308.2,302.95,305.75,38526324
2013-09-11,305.3,308.35,303.85,306.45,26476056
2013-09-12,306.05,309.0,305.25,307.0,20299342
2013-09-13,304.5,305.9,300.7,301.6,29865643
2013-09-16,306.0,309.9,300.95,305.4,44330444
2013-09-17,305.2,305.5,295.55,299.0,62360892
2013-09-18,284.0,284.0,275.35,277.2,60249629
2013-09-19,282.2,282.2,277.5,278.3,65960659
2013-09-20,277.85,277.95,272.7,273.45,83010622
2013-09-24,265.9,273.5,265.7,271.45,75367661
2013-09-25,271.8,277.5,270.35,273.0,70028386
2013-09-26,274.0,274.2,265.0,269.2,64575814
2013-09-27,268.35,269.05,263.95,265.8,67968897
2013-09-30,262.1,266.0,261.25,265.5,43124560
2013-10-01,266.95,271.7,265.6,269.8,47079759
2013-10-02,271.0,274.55,268.7,272.55,39551374
2013-10-03,272.0,275.5,271.45,273.0,29881026
2013-10-04,271.6,274.25,269.85,271.35,62452597
2013-10-07,272.0,273.55,267.4,272.55,33183103
2013-10-08,271.7,274.1,267.7,268.2,32403064
2013-10-09,266.85,272.0,265.6,267.8,31103295
2013-10-10,269.45,275.05,267.85,274.5,39031151
2013-10-11,276.95,280.05,273.7,278.0,37566532
2013-10-14,276.6,279.25,274.6,276.85,23458025
2013-10-15,279.65,281.45,278.85,279.85,28045760
2013-10-16,278.5,285.1,278.05,283.65,34621334
2013-10-17,281.4,281.4,275.05,278.3,48634508
2013-10-18,279.05,280.15,272.2,277.85,50317559
2013-10-21,277.05,277.05,272.15,274.75,29167890
2013-10-22,274.4,276.95,272.25,272.6,32159228
2013-10-23,274.1,,266.4,268.2,51949995
2013-10-24,269.0,270.95,265.6,266.45,40815444
2013-10-25,266.05,271.75,265.15,267.9,38407441
2013-10-28,269.25,271.0,260.95,263.25,43281636
2013-10-29,260.0,267.2,258.05,266.05,35030275
2013-10-30,272.0,276.8,268.05,268.55,68090386
2013-10-31,267.65,272.0,261.6,263.6,66547560
2013-11-01,263.1,263.5,254.55,258.25,71390785
2013-11-04,257.6,259.65,254.75,255.15,29718221
2013-11-05,255.5,257.1,246.65,249.0,65792714
2013-11-06,250.2,257.35,249.55,254.65,50588235
2013-11-07,255.45,258.85,251.4,252.7,34948691
2013-11-08,251.05,256.35,250.1,252.93,31529993
2013-11-11,256.9,259.4,254.95,256.25,22938711
